Modelo,F1_Clean,AUC_Clean,F1_Noise_Leve,AUC_Noise_Leve,F1_Noise_Moderada,AUC_Noise_Moderada,F1_Noise_Extrema,AUC_Noise_Extrema,F1_Blur_Leve,AUC_Blur_Leve,F1_Blur_Moderada,AUC_Blur_Moderada,F1_Blur_Extrema,AUC_Blur_Extrema,F1_Contrast_Leve,AUC_Contrast_Leve,F1_Contrast_Moderada,AUC_Contrast_Moderada,F1_Contrast_Extrema,AUC_Contrast_Extrema
convnext_tiny,0.9957636213236398,0.9999192778915742,0.9839409969280918,0.9997297152698045,0.9310604341525309,0.993419526919525,0.4949565967623307,0.8826435548235328,0.9881366230110072,0.9998954064004171,0.9668694097286721,0.9994271021561082,0.8873998452884211,0.9910499301248352,0.9854915250995666,0.9991488219950589,0.9239436152776932,0.9909250400091284,0.3726021190043429,0.7309564944607565
swin_s3_tiny_224,0.9955294666459339,0.9999662341792904,0.9792399533832877,0.9994163278658227,0.7822312896279526,0.9838925690386411,0.34487349778621124,0.818866118206232,0.9229824801922404,0.9989631039188955,0.6853698413685088,0.9903195980091454,0.5994185913722893,0.9644403622318547,0.9898151521973402,0.9996163627116801,0.9716329314805563,0.9985153117008476,0.7278242153617032,0.9632668203081358
mobilevit_s,0.9945229591961458,0.9999309888129084,0.2548508084326039,0.6807314788870277,0.13586847194786378,0.4652510064577654,0.1606237964933617,0.5608019943491026,0.7102005648245246,0.9833149142070323,0.42734172103693546,0.923273922194902,0.3238347171332274,0.8410630368874359,0.9799053005379337,0.998490601286204,0.9097392629676379,0.9885514776218366,0.6179393923090373,0.8764963188498471
tiny_vit_11m_224,0.9940889144889153,0.9998472974039269,0.24358527812609782,0.8433794327930774,0.11092715231788079,0.5978684753642071,0.11092715231788079,0.4338613113519213,0.9543964494969019,0.9990172976485245,0.8912692012288786,0.9957611633220087,0.8673238346071215,0.9839668311345423,0.9927612667078484,0.9998641563675218,0.9734652653514687,0.9990666143214049,0.864782242272647,0.9847407559058603
fastvit_t8,0.9927304806035127,0.9998830731446369,0.1293780743355586,0.4740408528031359,0.14475495717785047,0.5122032786948783,0.1053329205831035,0.49206002976944313,0.9270446524536364,0.9978520026062849,0.789155732252378,0.9921686473679483,0.6373931111869835,0.9701624064160155,0.9879531432563812,0.999910649808962,0.9395577445091365,0.9992530779951765,0.761903087188732,0.9444416108570983
ghostnet_100,0.9923779779333166,0.9996991768641117,0.11142217245240761,0.47690999138578744,0.09482758620689655,0.5071576594536626,0.09482758620689655,0.5,0.9317953681327518,0.9970855629790292,0.6888144031001173,0.9820134670213794,0.4429729235088847,0.9171660944507383,0.9880534163842647,0.9989982759946676,0.9034856549220399,0.9931239723748352,0.4040644109362762,0.900158523512999
densenet169,0.9911851488096185,0.9998936950583277,0.7210523512009768,0.9790620492121143,0.13213971596347363,0.7792098109211613,0.11092715231788079,0.569767106592931,0.9567376743958494,0.9996337664962314,0.6986729803856503,0.9937303875375555,0.5772648610972986,0.9781082809827997,0.9911765931507983,0.9998997405341526,0.9637858665965905,0.999379232512503,0.7218145890581631,0.9828591484887795
convnext_small,0.9895983527426374,0.9992376341871841,0.9749871814318423,0.9996224868032313,0.9207842970005051,0.9927003682955806,0.5533583219125827,0.9058321053757546,0.9704030983632304,0.998984721101175,0.9444857413979227,0.9978454800613812,0.8821852388360499,0.9827094618055021,0.977886023556016,0.9986437051204777,0.8494112265592075,0.9675720445479232,0.29032715618516797,0.7313299504571025
swin_tiny_patch4_window7_224,0.9883669074951603,0.9998057181555406,0.9735103518493232,0.9982985347730924,0.7278507662373277,0.9651852209705659,0.32764436357495064,0.7880006133619665,0.9649333226437332,0.9985208219499123,0.8822261501538878,0.9936875511684042,0.7049722641035566,0.9643586176709611,0.9881597820450617,0.9995607955846074,0.9669040295231861,0.997820872136022,0.6468486754837521,0.9421940054512473
densenet121,0.9882882976034254,0.9995445979858362,0.13452191484622952,0.8296820198300006,0.10954481970543423,0.3987983513894713,0.11092715231788079,0.3623740786034354,0.9608195166412654,0.9985327016206469,0.829461912331026,0.9873143777964215,0.5982780778202769,0.9391326967727816,0.982187087005346,0.9992519871587309,0.8987755949733532,0.9953082350446667,0.22366860513226727,0.8307618851248127
xcit_small_12_p16_224,0.9880366481260743,0.9998791574719367,0.9106161134359426,0.9926454023411887,0.13184921556316614,0.7637449096828055,0.11092715231788079,0.49688774467167696,0.9800639961164995,0.9994900655188032,0.9147133454351681,0.9971977200315518,0.7443988982931895,0.976671495960609,0.9824010823968606,0.9997078117595015,0.9218801184677293,0.996296966616972,0.4559699843300636,0.8925498879497141
resnet18,0.9880055688387372,0.9994524411002549,0.2491606463622074,0.8952243334492413,0.11092715231788079,0.6067810942066008,0.11092715231788079,0.5112135275741054,0.8909639725722204,0.9948073726709807,0.5928613482477215,0.94972360572444,0.38107310133446026,0.8248670105880967,0.9720071876548294,0.9987515767725367,0.8723664424759405,0.9874890800221185,0.5446897289247031,0.8745009119117513
efficientnet_b1,0.9866097292387134,0.9998116141084267,0.11092715231788079,0.6366849342847234,0.18271377964415703,0.49221690000823415,0.16312254079729116,0.5118916699189312,0.9650207820598687,0.9994590433780207,0.8445182573628155,0.9938398695926453,0.5361375457797158,0.9466761466953336,0.9850643206243392,0.9993946425766497,0.9451146517969664,0.9961958849573217,0.5204215654225763,0.8861865772524863
vit_base_patch32_224,0.9849301367018573,0.9996466414924569,0.97456662803089,0.9993829942434832,0.956545986904733,0.9947595538680929,0.7192086323272164,0.957237466660247,0.9790722768809403,0.999536301181616,0.9581015924733411,0.9985603965974501,0.7582648115373047,0.977789660552944,0.9660316932524196,0.9984591611427989,0.7533473652318768,0.9557239391482493,0.33887271742372865,0.6328049608140871
resnet50,0.9806761492171487,0.9996493238998612,0.3053408024541397,0.8024927248411073,0.09389400921658986,0.4531942544123464,0.09988649262202043,0.6957498640489045,0.7615418702770199,0.9847658887701807,0.5475597161018138,0.9383383546809756,0.37010508390351493,0.8166446972077201,0.9554400302962248,0.9982293620250487,0.8107595283282717,0.9600721493931328,0.15741533902473545,0.4516157392981498
mobilenetv3_small_100,0.9806744131644997,0.9998461874180408,0.15501801927365402,0.6185271288968608,0.2119065899040483,0.47629906511097886,0.23746221634838882,0.5074635749444997,0.9193666463382051,0.9980293567757916,0.8035779551491783,0.9827821731079907,0.5826444229770504,0.9187737752831653,0.9640696713909583,0.9993311340464384,0.32762358811029874,0.8395902295902251,0.11049723756906077,0.4556852457184437
efficientnet_b2,0.9806156893990703,0.9988168650007223,0.18785516792371695,0.48403089137977273,0.25111717413313206,0.5122725563691974,0.22438313128703238,0.5199929393616752,0.8721352429727842,0.9930215373965798,0.6111818789211536,0.9620552649253888,0.5122094663382665,0.9106261647800445,0.9640780656173276,0.9972975811867799,0.8609070269831348,0.9864480319358042,0.42448095316947776,0.8450402161040076
efficientnet_b3,0.9797208739087482,0.9931721719705561,0.23574236814613875,0.4995053886371419,0.21221870023467526,0.4810744981370117,0.23127456560536197,0.4940602359713881,0.9541123116119906,0.9981561199363924,0.802818957632705,0.9906705089347456,0.6870870828850455,0.9706228836377084,0.9770106085774254,0.9910516852478747,0.8863905379310751,0.9899843814940257,0.6971892089659532,0.9553307047778877
vit_base_patch16_224,0.9778121051390634,0.9991472622181192,0.9764084309766988,0.9991948676609038,0.9047702326842224,0.9864213707453848,0.709948346561478,0.9296323811301436,0.9606123405999275,0.9986802415760002,0.9027228239810706,0.9917991764538734,0.7466557984774695,0.9537185396546006,0.9250479406943308,0.9963575571025596,0.6582036484394074,0.9507621414069571,0.374269152863838,0.7440678825350149
efficientnet_b0,0.9746941102377665,0.9979746914028998,0.1775394651850858,0.48731760321500484,0.17944795155421184,0.5067499696520537,0.19301397788079375,0.4964479252407451,0.890998489687936,0.9895394619367756,0.5819056797257766,0.9366859574287671,0.27441074384139236,0.7954649164180626,0.9535888118380134,0.9969825549125373,0.8307357629440412,0.9790486708076509,0.31319935765210705,0.7694253536664907
mobilenetv3_large_100,0.9717271062101631,0.997985235014214,0.12292547412989584,0.5335370899907009,0.11092715231788079,0.5024475774972124,0.23850830538429427,0.5082827230764073,0.9238372015089715,0.9951524038839359,0.7762281291569519,0.9727377820249056,0.5804271566680186,0.8808926344609849,0.9676436863055934,0.9971053205543521,0.87968988143175,0.9845490485954163,0.34766157872142006,0.7802287813872825
vit_small_patch16_224,0.9665443724975041,0.9988938645413363,0.9602513757646072,0.9976229815793796,0.8107749130632969,0.9702116014310339,0.2714533801426769,0.7978018775156583,0.9369876142828023,0.9977230260472538,0.9087937746713372,0.9948023360604982,0.8102442378130669,0.9806897957024778,0.9509312099013907,0.997107535071904,0.853087231894257,0.9841293005527146,0.5325490870065509,0.8066810522370464
resnet34,0.9645981236135697,0.9973518602825107,0.16953831223696414,0.843138284545589,0.11092715231788079,0.6590428222296638,0.11092715231788079,0.5734357475812134,0.7933181364102581,0.9847573276032308,0.6672303234317648,0.9584313497365241,0.5614740754899386,0.90974288297823,0.9355412514352186,0.993934834794789,0.7310233275434823,0.9473833981566442,0.27171577788155116,0.853385484760239
